id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,leaf_time,fk_time,pred_time,search_time
20240830131816,0.5,0.5,0,0,0,../datasets/books,alex,3089808,100000000,4097356400,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,0,0,0,0
20240830131948,0.5,0.5,0,0,0,../datasets/covid,alex,3362499,100000000,4129265600,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,0,0,0,0
20240830133348,0.5,0.5,0,0,0,../datasets/books,alex,3058133,100000000,4097356400,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,2384840393,22807702914,1272491143,16853103089
20240830133519,0.5,0.5,0,0,0,../datasets/covid,alex,3351602,100000000,4129265600,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,4558751853,20320197216,1590495827,13329573149
20240830133825,0.5,0.5,0,0,0,../datasets/fb,alex,1325846,100000000,4754016688,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,33382284694,32713517237,1487381142,22006413917
20240830134043,0.5,0.5,0,0,0,../datasets/genome,alex,1865572,100000000,4279515384,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,15121302751,30170490397,1400563576,20566778606
20240830134230,0.5,0.5,0,0,0,../datasets/libio,alex,2655417,100000000,4247786024,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,8977547044,24505616990,2194945997,15433995618
20240830134510,0.5,0.5,0,0,0,../datasets/osm,alex,1617166,100000000,4578816176,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,23845776062,31355478280,1560277881,20533394604
20240830134739,0.5,0.5,0,0,0,../datasets/planet,alex,1746708,100000000,4454202456,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,18997048306,30977332484,1581596391,20135183529
20240830134856,0.5,0.5,0,0,0,../datasets/stack,alex,4095994,100000000,4097920240,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,2876452643,17955024658,1458309798,11674611472
20240830135022,0.5,0.5,0,0,0,../datasets/wise,alex,3581171,100000000,4101751952,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,3444092853,19459737290,1495051634,12747848087
20240830142036,0.5,0.5,0,0,0,../datasets/osm,alex,3488394,1000000,74119944,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,2000000,81626107,157484167,13709862,75563023
