id,dataset,throughput,init_table_size,memory_consumption,search_type,branch_miss,density
2.02409E+13,books,441087,100000000,8062818008,exponential,1305201,0.2
2.02409E+13,books,442342,100000000,5375183200,exponential,1424732,0.3
2.02409E+13,books,441815,100000000,4031432320,exponential,1349450,0.4
2.02409E+13,books,440040,100000000,3225172664,exponential,1493251,0.5
2.02409E+13,books,446150,100000000,2687670560,exponential,1463528,0.6
2.02409E+13,books,438255,100000000,2303886464,exponential,1424109,0.7
2.02409E+13,books,289013,100000000,8062818008,mb_bbin,1541444,0.2
2.02409E+13,books,285005,100000000,5375183200,mb_bbin,1392597,0.3
2.02409E+13,books,287300,100000000,4031432320,mb_bbin,1446650,0.4
2.02409E+13,books,284013,100000000,3225172664,mb_bbin,1549787,0.5
2.02409E+13,books,289822,100000000,2687670560,mb_bbin,1455268,0.6
2.02409E+13,books,299731,100000000,2303886464,mb_bbin,1357105,0.7
2.02409E+13,books,431564,100000000,8062818008,ex_mb_bbin,1408371,0.2
2.02409E+13,books,434646,100000000,5375183200,ex_mb_bbin,1399618,0.3
2.02409E+13,books,434506,100000000,4031432320,ex_mb_bbin,1449906,0.4
2.02409E+13,books,440909,100000000,3225172664,ex_mb_bbin,1439623,0.5
2.02409E+13,books,434256,100000000,2687670560,ex_mb_bbin,1455265,0.6
2.02409E+13,books,441624,100000000,2303886464,ex_mb_bbin,1465079,0.7
2.02409E+13,books,398096,100000000,8062818008,mb_slin,1412192,0.2
2.02409E+13,books,402320,100000000,5375183200,mb_slin,1308016,0.3
2.02409E+13,books,388838,100000000,4031432320,mb_slin,1364535,0.4
2.02409E+13,books,388701,100000000,3225172664,mb_slin,1427146,0.5
2.02409E+13,books,397322,100000000,2687670560,mb_slin,1398720,0.6
2.02409E+13,books,394924,100000000,2303886464,mb_slin,1385294,0.7
2.02409E+13,books,427289,100000000,8062818008,ex_mb_slin,1377538,0.2
2.02409E+13,books,437491,100000000,5375183200,ex_mb_slin,1345310,0.3
2.02409E+13,books,428717,100000000,4031432320,ex_mb_slin,1489567,0.4
2.02409E+13,books,430674,100000000,3225172664,ex_mb_slin,1406427,0.5
2.02409E+13,books,426986,100000000,2687670560,ex_mb_slin,1477765,0.6
2.02409E+13,books,429844,100000000,2303886464,ex_mb_slin,1539860,0.7
2.02409E+13,osm,402571,100000000,8082747712,exponential,1539979,0.2
2.02409E+13,osm,408181,100000000,5404893144,exponential,1517275,0.3
2.02409E+13,osm,400505,100000000,4066050704,exponential,1512821,0.4
2.02409E+13,osm,420071,100000000,3265569784,exponential,1527723,0.5
2.02409E+13,osm,392029,100000000,2733094792,exponential,1700560,0.6
2.02409E+13,osm,393061,100000000,2365159640,exponential,1566359,0.7
2.02409E+13,osm,311663,100000000,8082747712,mb_bbin,1573494,0.2
2.02409E+13,osm,325420,100000000,5404893144,mb_bbin,1444991,0.3
2.02409E+13,osm,327539,100000000,4066050704,mb_bbin,1557866,0.4
2.02409E+13,osm,331592,100000000,3265569784,mb_bbin,1505723,0.5
2.02409E+13,osm,336878,100000000,2733094792,mb_bbin,1534844,0.6
2.02409E+13,osm,345949,100000000,2365159640,mb_bbin,1520616,0.7
2.02409E+13,osm,407740,100000000,8082747712,ex_mb_bbin,1426282,0.2
2.02409E+13,osm,397756,100000000,5404893144,ex_mb_bbin,1479690,0.3
2.02409E+13,osm,412085,100000000,4066050704,ex_mb_bbin,1499104,0.4
2.02409E+13,osm,405838,100000000,3265569784,ex_mb_bbin,1497157,0.5
2.02409E+13,osm,401972,100000000,2733094792,ex_mb_bbin,1501990,0.6
2.02409E+13,osm,408773,100000000,2365159640,ex_mb_bbin,1557416,0.7
2.02409E+13,osm,360144,100000000,8082747712,mb_slin,1509119,0.2
2.02409E+13,osm,368671,100000000,5404893144,mb_slin,1441047,0.3
2.02409E+13,osm,363748,100000000,4066050704,mb_slin,1482417,0.4
2.02409E+13,osm,364652,100000000,3265569784,mb_slin,1471219,0.5
2.02409E+13,osm,371881,100000000,2733094792,mb_slin,1475512,0.6
2.02409E+13,osm,369488,100000000,2365159640,mb_slin,1482086,0.7
2.02409E+13,osm,398877,100000000,8082747712,ex_mb_slin,1541528,0.2
2.02409E+13,osm,386851,100000000,5404893144,ex_mb_slin,1497550,0.3
2.02409E+13,osm,378077,100000000,4066050704,ex_mb_slin,1505455,0.4
2.02409E+13,osm,376452,100000000,3265569784,ex_mb_slin,1562089,0.5
2.02409E+13,osm,369405,100000000,2733094792,ex_mb_slin,1441734,0.6
2.02409E+13,osm,369379,100000000,2365159640,ex_mb_slin,1451590,0.7
